id,kode,NAME_1,JOKO WIDODO & JUSUF KALLA,PRABOWO SUBIANTO & M. HATTA RAJASA,PEMENANG,Suara_menang,name,latitude,longitude
0,11,Aceh,45.61,54.39,Prabowo,54.39,Provinsi Aceh,4.695135,96.7493993
1,51,Bali,71.42,28.58,Jokowi,71.42,Provinsi Bali,-8.4095178,115.188916
2,19,Bangka-Belitung,67.26,32.74,Jokowi,67.26,Provinsi Kepulauan Bangka Belitung,-2.7410513,106.4405872
3,36,Banten,42.9,57.1,Prabowo,57.1,Provinsi Banten,-6.4058172,106.0640179
4,17,Bengkulu,54.73,45.27,Jokowi,54.73,Provinsi Bengkulu,-3.5778471,102.3463875
5,75,Gorontalo,36.9,63.1,Prabowo,63.1,Provinsi Gorontalo,0.6999372,122.4467238
6,91,Irian Jaya Barat,67.63,32.37,Jokowi,67.63,Provinsi Papua Barat,-1.3361154,133.1747162
7,31,Jakarta Raya,53.08,46.92,Jokowi,53.08,Provinsi DKI Jakarta,-6.211544,106.845172
8,15,Jambi,50.75,49.25,Jokowi,50.75,Provinsi Jambi,-1.4851831,102.4380581
9,32,Jawa Barat,40.22,59.78,Prabowo,59.78,Provinsi Jawa Barat,-7.090911,107.668887
10,33,Jawa Tengah,66.65,33.35,Jokowi,66.65,Provinsi Jawa Tengah,-7.150975,110.1402594
11,35,Jawa Timur,53.17,46.83,Jokowi,53.17,Provinsi Jawa Timur,-7.5360639,112.2384017
12,61,Kalimantan Barat,60.38,39.62,Jokowi,60.38,Provinsi Kalimantan Barat,-0.2787808,111.4752851
13,63,Kalimantan Selatan,49.95,50.05,Prabowo,50.05,Provinsi Kalimantan Selatan,-3.0926415,115.2837585
14,62,Kalimantan Tengah,59.79,40.21,Jokowi,59.79,Provinsi Kalimantan Tengah,-1.6814878,113.3823545
15,64,Kalimantan Timur,63.38,36.62,Jokowi,63.38,Provinsi Kalimantan Timur,1.6406296,116.419389
16,65,Kalimantan Utara,0,0,Belum Mekar,0,Provinsi Kalimantan Utara,2.7470449,117.3263271
17,21,Kepulauan Riau,59.63,40.37,Jokowi,59.63,Provinsi Kepulauan Riau,3.9456514,108.1428669
18,18,Lampung,53.07,46.93,Jokowi,53.07,Provinsi Lampung,-4.5585849,105.4068079
19,82,Maluku Utara,45.55,54.45,Prabowo,54.45,Provinsi Maluku Utara,1.5709993,127.8087693
20,81,Maluku,50.52,49.48,Jokowi,50.52,Provinsi Maluku,-3.2384616,130.1452734
21,52,Nusa Tenggara Barat,27.55,72.45,Prabowo,72.45,Provinsi Nusa Tenggara Barat,-8.6529334,117.3616476
22,53,Nusa Tenggara Timur,65.92,34.08,Jokowi,65.92,Provinsi Nusa Tenggara Timur,-8.6573819,121.0793705
23,94,Papua,72.49,27.51,Jokowi,72.49,Provinsi Papua,-4.269928,138.0803529
24,14,Riau,49.88,50.12,Prabowo,50.12,Provinsi Riau,0.2933469,101.7068294
25,76,Sulawesi Barat,73.37,26.63,Jokowi,73.37,Provinsi Sulawesi Barat,-2.8441371,119.2320784
26,73,Sulawesi Selatan,71.43,28.57,Jokowi,71.43,Provinsi Sulawesi Selatan,-3.6687994,119.9740534
27,72,Sulawesi Tengah,54.83,45.17,Jokowi,54.83,Provinsi Sulawesi Tengah,-1.4300254,121.4456179
28,74,Sulawesi Tenggara,54.9,45.1,Jokowi,54.9,Provinsi Sulawesi Tenggara,-4.14491,122.174605
29,71,Sulawesi Utara,53.88,46.12,Jokowi,53.88,Provinsi Sulawesi Utara,0.6246932,123.9750018
30,13,Sumatera Barat,23.08,76.92,Prabowo,76.92,Provinsi Sumatera Barat,-0.7399397,100.8000051
31,16,Sumatera Selatan,48.74,51.26,Prabowo,51.26,Provinsi Sumatera Selatan,-3.3194374,103.914399
32,12,Sumatera Utara,55.24,44.76,Jokowi,55.24,Provinsi Sumatera Utara,2.1153547,99.5450974
33,34,Yogyakarta,55.81,44.19,Jokowi,55.81,Provinsi DI Yogyakarta,-7.8753849,110.4262088
